AreaName,Year,Pop-0-14,Pop>65,Density,Population,Female,Male,SexRatio,SurfaceArea
Afghanistan,2010,48.2,3.9,44.7,29.19,14.25,14.94,104.8,NA
Afghanistan,2015,44.9,4,52.7,34.41,16.73,17.69,105.7,653
Afghanistan,2019,42.5,4.2,58.3,38.04,18.51,19.53,105.5,653
Afghanistan,2021,41.2,4.3,61,39.839999999999996,19.4,20.439999999999998,105.3,NA
Africa,2010,41.5,5.1,35.1,1039.3,521.05,518.25,99.5,NA
Africa,2015,41.1,5.3,39.9,1182.44,592.16,590.2800000000001,99.7,30311
Africa,2019,40.6,5.5,44.1,1308.06,654.55,653.51,99.8,29648
Africa,2021,40.1,5.6,46.3,1373.49,687.07,686.42,99.9,NA
Albania,2010,22.5,15,107.6,2.9499999999999997,1.46,1.49,101.5,NA
Albania,2015,18.7,17.9,105.5,2.8899999999999997,1.42,1.47,103.7,29
Albania,2019,17.4,20.5,105.1,2.88,1.41,1.47,103.7,29
Albania,2021,17.1,21.9,104.9,2.8699999999999997,1.41,1.46,103.6,NA
Algeria,2010,27.3,7.8,15.1,35.98,17.82,18.16,101.9,NA
Algeria,2015,28.7,8.9,16.7,39.730000000000004,19.66,20.06,102,2382
Algeria,2019,30.6,9.7,18.1,43.05,21.3,21.75,102.1,2382
Algeria,2021,30.9,10.1,18.7,44.620000000000005,22.08,22.54,102.1,NA
American Samoa,2010,NA,NA,280.4,0.06,NA,NA,NA,NA
American Samoa,2015,NA,NA,279,0.06,NA,NA,NA,0
American Samoa,2019,NA,NA,276.6,0.06,NA,NA,NA,0
American Samoa,2021,NA,NA,275.5,0.06,NA,NA,NA,NA
Americas,2010,24.8,13.1,24.1,934.64,473.61,461.03,97.3,NA
Americas,2015,23.2,14.8,25.3,980.97,497.19,483.78,97.3,42322
Americas,2019,22.1,16.2,26.2,1014.72,514.47,500.26,97.2,38791
Americas,2021,21.6,17,26.6,1030.85,522.73,508.12,97.2,NA
Andorra,2010,NA,NA,179.7,0.08,NA,NA,NA,NA
Andorra,2015,NA,NA,165.9,0.08,NA,NA,NA,0
Andorra,2019,NA,NA,164.1,0.08,NA,NA,NA,0
Andorra,2021,NA,NA,164.6,0.08,NA,NA,NA,NA
Angola,2010,47,3.8,18.7,23.36,11.81,11.55,97.8,NA
Angola,2015,47.1,3.6,22.4,27.88,14.09,13.79,97.9,1247
Angola,2019,46.6,3.6,25.5,31.830000000000002,16.08,15.739999999999998,97.9,1247
Angola,2021,46.2,3.7,27.2,33.93,17.14,16.79,97.9,NA
Anguilla,2010,NA,NA,149.3,0.01,NA,NA,NA,NA
Anguilla,2015,NA,NA,158.7,0.01,NA,NA,NA,0
Anguilla,2019,NA,NA,165.2,0.01,NA,NA,NA,0
Anguilla,2021,NA,NA,168.1,0.02,NA,NA,NA,NA
Antigua and Barbuda,2010,24.3,10.7,200.1,0.09,0.05,0.04,91.7,NA
Antigua and Barbuda,2015,22.6,12.1,212.7,0.09,0.05,0.05,92.8,0
Antigua and Barbuda,2019,22,13.6,220.7,0.1,0.05,0.05,93.2,0
Antigua and Barbuda,2021,21.7,14.6,224.4,0.1,0.05,0.05,93.4,NA
Argentina,2010,26,14.2,14.9,40.9,21,19.9,94.8,NA
Argentina,2015,25.2,14.9,15.7,43.08,22.09,20.99,95,2780
Argentina,2019,24.6,15.4,16.4,44.78,22.939999999999998,21.84,95.2,2796
Argentina,2021,24.3,15.7,16.7,45.61,23.35,22.25,95.3,NA
Armenia,2010,19.5,14.8,101.1,2.88,1.53,1.35,87.9,NA
Armenia,2015,20.1,15.8,102.8,2.9299999999999997,1.55,1.3800000000000001,88.7,30
Armenia,2019,20.8,17.9,103.9,2.96,1.57,1.3900000000000001,88.8,30
Armenia,2021,20.8,19,104.3,2.9699999999999998,1.57,1.4,88.8,NA
Aruba,2010,20.9,15.5,564.8,0.1,0.05,0.05,91.1,NA
Aruba,2015,18.7,18.4,579.7,0.1,0.05,0.05,90.6,0
Aruba,2019,17.6,21.1,590.6,0.11,0.06,0.05,90.3,0
Aruba,2021,17.3,22.6,595.5,0.11,0.06,0.05,90.2,NA
Asia,2010,25.9,10,135.6,4209.59,2054.2799999999997,2155.3100000000004,104.9,NA
Asia,2015,24.6,11.5,142.9,4433.48,2164.9700000000003,2268.5,104.8,31915
Asia,2019,23.7,12.7,148.3,4601.37,2247.9100000000003,2353.4700000000003,104.7,31033
Asia,2021,23.3,13.4,150.8,4679.660000000001,2286.8300000000004,2392.84,104.6,NA
Australia,2010,19,18.8,2.9,22.150000000000002,11.08,11.08,100,NA
Australia,2015,18.9,20.2,3.1,23.93,12.01,11.93,99.3,7692
Australia,2019,19.3,21.4,3.3,25.2,12.65,12.55,99.2,7692
Australia,2021,19.3,22.1,3.4,25.79,12.950000000000001,12.84,99.2,NA
Australia and New Zealand,2010,19.3,18.8,3.3,26.52,13.3,13.229999999999999,99.4,NA
Australia and New Zealand,2015,19.1,20.2,3.6,28.55,14.350000000000001,14.19,98.9,8012
Australia and New Zealand,2019,19.3,21.5,3.8,29.99,15.08,14.9,98.8,7946
Australia and New Zealand,2021,19.3,22.2,3.9,30.650000000000002,15.42,15.229999999999999,98.8,NA
Austria,2010,14.7,23.3,102.1,8.41,4.31,4.1,95.1,NA
Austria,2015,14.1,24.3,105.3,8.68,4.430000000000001,4.25,95.9,84
Austria,2019,14.4,25.3,108.7,8.96,4.55,4.41,97,84
Austria,2021,14.5,26.2,109.7,9.04,4.58,4.46,97.4,NA
Azerbaijan,2010,22.8,8.1,109.3,9.03,4.56,4.48,98.2,NA
Azerbaijan,2015,22.9,9.3,116.4,9.62,4.83,4.79,99.1,87
Azerbaijan,2019,23.4,11.1,121.6,10.05,5.03,5.02,99.7,87
Azerbaijan,2021,23.4,12.3,123.7,10.219999999999999,5.109999999999999,5.109999999999999,99.9,NA
Bahamas,2010,26.9,9,35.5,0.35,0.18,0.17,94,NA
Bahamas,2015,24,10.2,37.4,0.37,0.19,0.18,94.3,14
Bahamas,2019,22.1,11.7,38.9,0.39,0.2,0.19,94.5,14
Bahamas,2021,21.3,12.7,39.7,0.4,0.2,0.19,94.6,NA
Bahrain,2010,20.3,3.5,1632.7,1.24,0.47000000000000003,0.77,165.8,NA
Bahrain,2015,20.8,4.1,1805.1,1.37,0.53,0.8500000000000001,161.3,1
Bahrain,2019,18.7,5.1,2159.4,1.6400000000000001,0.59,1.05,179.9,1
Bahrain,2021,18,5.7,2300.4,1.75,0.61,1.1300000000000001,184.5,NA
Bangladesh,2010,32,7,1133.7,147.58,72.56,75.02,103.4,NA
Bangladesh,2015,29.3,7.2,1200.4,156.26,77.04,79.22,102.8,148
Bangladesh,2019,27.2,7.7,1252.6,163.05,80.57,82.47,102.4,148
Bangladesh,2021,26.3,8.2,1277.6,166.3,82.27,84.03,102.1,NA
Barbados,2010,19.7,18.1,656.1,0.28,0.15000000000000002,0.14,92.3,NA
Barbados,2015,18.3,20.3,663.6,0.29000000000000004,0.15000000000000002,0.14,93.1,0
Barbados,2019,17.1,22.5,667.5,0.29000000000000004,0.15000000000000002,0.14,93.7,0
Barbados,2021,16.6,23.7,669.1,0.29000000000000004,0.15000000000000002,0.14,93.9,NA
Belarus,2010,14.9,19.1,46.4,9.42,5.04,4.38,86.9,NA
Belarus,2015,16.3,20.4,46.5,9.44,5.05,4.39,87,208
Belarus,2019,17,22.2,46.6,9.450000000000001,5.05,4.4,87.1,208
Belarus,2021,17.3,23.2,46.5,9.44,5.05,4.4,87.2,NA
Belgium,2010,16.9,23.2,361.3,10.94,5.57,5.37,96.5,NA
Belgium,2015,17,24,372.8,11.29,5.74,5.55,96.7,31
Belgium,2019,17.1,25.3,381.1,11.54,5.83,5.71,98,31
Belgium,2021,17,26,384.2,11.629999999999999,5.859999999999999,5.7700000000000005,98.4,NA
Belize,2010,35.6,6,14.1,0.32,0.16,0.16,100.1,NA
Belize,2015,32.1,6.6,15.8,0.36,0.18,0.18,99.6,23
Belize,2019,29.7,7.4,17.1,0.39,0.2,0.19,99.1,23
Belize,2021,28.8,7.9,17.8,0.4,0.2,0.2,98.8,NA
Benin,2010,43.8,4.9,81.6,9.2,4.63,4.57,98.7,NA
Benin,2015,43,5,93.8,10.58,5.31,5.2700000000000005,99.3,115
Benin,2019,42.2,5,104.7,11.8,5.91,5.89,99.7,115
Benin,2021,41.7,5.1,110.4,12.450000000000001,6.23,6.22,99.8,NA
Bermuda,2010,NA,NA,1307.8,0.07,NA,NA,NA,NA
Bermuda,2015,NA,NA,1273.9,0.06,NA,NA,NA,0
Bermuda,2019,NA,NA,1250.2,0.06,NA,NA,NA,0
Bermuda,2021,NA,NA,1241.8,0.06,NA,NA,NA,NA
Bhutan,2010,31.2,7.5,18,0.69,0.32999999999999996,0.36,110.7,NA
Bhutan,2015,27.4,8.1,19.1,0.73,0.33999999999999997,0.38,111.7,38
