T02,"Population, density and surface area",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2010,Population mid-year estimates (millions),"6,956.82",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,507.70",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,449.12",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),27.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2010,Population density,53.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2015,Population mid-year estimates (millions),"7,379.80",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,720.70",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2015,Population mid-year estimates for females (millions),"3,659.10",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2015,Sex ratio (males per 100 females),101.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2015,Population aged 0 to 14 years old (percentage),26.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
